OBJECTID,stationid,lat,long,River_Mout,POTW_Statu,POTW_Name,Stratum
234,B18-10267,33.217529999999996,-117.480419999999995,,,,Mid Shelf
235,B18-10268,33.105249999999998,-117.362179999999995,,,,Mid Shelf
236,B18-10269,33.087589999999999,-117.351169999999996,,,,Mid Shelf
237,B18-10264,33.512088779999999,-117.771347100000000,Aliso Creek,Small,AWMA,Mid Shelf
238,B18-10258,33.648059840000002,-118.148880000000005,,,,Mid Shelf
239,B18-10259,33.621181489999998,-118.194480900000002,,,,Mid Shelf
240,B18-10260,33.601989750000001,-118.056610100000000,,Large,OCSD,Mid Shelf
241,B18-10262,33.594860079999997,-118.194396999999995,,,,Mid Shelf
242,B18-10263,33.592311860000002,-117.925308200000003,,,,Mid Shelf
243,B18-10252,33.986400000000003,-118.622016700000003,,,,Mid Shelf
244,B18-10253,33.943833329999997,-118.519833300000002,,Large,Hyperion,Mid Shelf
245,B18-10255,33.865833330000001,-118.528099999999995,,,,Mid Shelf
246,B18-10257,33.848233329999999,-118.567816699999995,,,,Mid Shelf
247,B18-10905,33.991199999999999,-118.535633300000001,,,,Mid Shelf
248,B18-10270,32.967619999999997,-117.299750000000003,,,,Mid Shelf
249,B18-10271,32.851050000000001,-117.325980000000001,,,,Mid Shelf
250,B18-10272,32.751869999999997,-117.322749999999999,,,,Mid Shelf
251,B18-10273,32.664470000000001,-117.271280000000004,,,,Mid Shelf
252,B18-10274,32.663739999999997,-117.296000000000006,,,,Mid Shelf
253,B18-10275,32.632410000000000,-117.305710000000005,,,,Mid Shelf
254,B18-10276,32.597589999999997,-117.244789999999995,,,,Mid Shelf
255,B18-10277,32.589630000000000,-117.264290000000003,,,,Mid Shelf
256,B18-10278,32.551549999999999,-117.199430000000007,,,,Mid Shelf
257,B18-10241,34.435980000000001,-120.237080000000006,,,,Mid Shelf
258,B18-10242,34.423879999999997,-120.057509999999994,,,,Mid Shelf
259,B18-10282,34.307879999999997,-119.712819999999994,,,,Outer Shelf
260,B18-10283,34.277799999999999,-119.718350000000001,,,,Outer Shelf
261,B18-10284,34.272410000000001,-119.657340000000005,,,,Outer Shelf
262,B18-10285,34.260869999999997,-119.767300000000006,,,,Outer Shelf
263,B18-10286,34.243980000000001,-119.705749999999995,,,,Outer Shelf
264,B18-10287,34.232939999999999,-119.706630000000004,,,,Outer Shelf
265,B18-10288,34.230300000000000,-119.687250000000006,,,,Outer Shelf
266,B18-10289,34.224110000000003,-119.606099999999998,,,,Outer Shelf
267,B18-10291,34.196899999999999,-119.571370000000002,,,,Outer Shelf
268,B18-10293,34.168939999999999,-119.460909999999998,,,,Outer Shelf
269,B18-10295,34.132919999999999,-119.363489999999999,,,,Outer Shelf
270,B18-10300,34.088960000000000,-119.274749999999997,,,,Outer Shelf
271,B18-10298,34.110059999999997,-119.221639999999994,,,,Outer Shelf
272,B18-10301,34.066451999999998,-119.134129999999999,,,,Outer Shelf
273,B18-10303,34.044633330000003,-119.055449999999993,,,,Outer Shelf
274,B18-10304,34.033600000000000,-119.029916700000001,,,,Outer Shelf
275,B18-10317,33.221069999999997,-117.511449999999996,,,,Outer Shelf
276,B18-10315,33.464050290000003,-117.761947599999999,,,,Outer Shelf
277,B18-10316,33.303210000000000,-117.609219999999993,,,,Outer Shelf
278,B18-10312,33.575851440000001,-118.125846899999999,,,,Outer Shelf
279,B18-10313,33.568271639999999,-118.024406400000004,,,,Outer Shelf
280,B18-10308,33.912416669999999,-118.588399999999993,,,,Outer Shelf
281,B18-10309,33.819333329999999,-118.525366700000006,,,,Outer Shelf
282,B18-10311,33.766750000000002,-118.460233299999999,,,,Outer Shelf
